SDG using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=70, Epoch=8, minibatch=5, loss=0.06424, Wa=1.0420, Wb=1.5385
updates=71, Epoch=8, minibatch=6, loss=0.05390, Wa=1.0465, Wb=1.5351
updates=72, Epoch=8, minibatch=7, loss=0.04371, Wa=1.0486, Wb=1.5317
updates=73, Epoch=9, minibatch=0, loss=0.04144, Wa=1.0496, Wb=1.5289
updates=74, Epoch=9, minibatch=1, loss=0.05214, Wa=1.0500, Wb=1.5263
updates=75, Epoch=9, minibatch=2, loss=0.05091, Wa=1.0501, Wb=1.5228
updates=76, Epoch=9, minibatch=3, loss=0.04966, Wa=1.0631, Wb=1.5203
updates=77, Epoch=9, minibatch=4, loss=0.04907, Wa=1.0690, Wb=1.5179
updates=78, Epoch=9, minibatch=5, loss=0.04616, Wa=1.0714, Wb=1.5150
updates=79, Epoch=9, minibatch=6, loss=0.05815, Wa=1.0739, Wb=1.5124
updates=80, Epoch=9, minibatch=7, loss=0.04387, Wa=1.0780, Wb=1.5092
updates=81, Epoch=10, minibatch=0, loss=0.03951, Wa=1.0816, Wb=1.5065
updates=82, Epoch=10, minibatch=1, loss=0.04509, Wa=1.0829, Wb=1.5040
updates=83, Epoch=10, minibatch=2, loss=0.04171, Wa=1.0875, Wb=1.5015
updates=84, Epoch=10, minibatch=3, loss=0.04539, Wa=1.0896, Wb=1.4987
updates=85, Epoch=10, minibatch=4, loss=0.04337, Wa=1.0984, Wb=1.4961
updates=86, Epoch=10, minibatch=5, loss=0.04004, Wa=1.1003, Wb=1.4933
updates=87, Epoch=10, minibatch=6, loss=0.03895, Wa=1.1019, Wb=1.4903
updates=88, Epoch=10, minibatch=7, loss=0.04602, Wa=1.1034, Wb=1.4877
updates=89, Epoch=11, minibatch=0, loss=0.03094, Wa=1.1098, Wb=1.4854
updates=90, Epoch=11, minibatch=1, loss=0.04658, Wa=1.1112, Wb=1.4833
updates=91, Epoch=11, minibatch=2, loss=0.03071, Wa=1.1176, Wb=1.4806
updates=92, Epoch=11, minibatch=3, loss=0.04550, Wa=1.1178, Wb=1.4782
updates=93, Epoch=11, minibatch=4, loss=0.03083, Wa=1.1228, Wb=1.4755
updates=94, Epoch=11, minibatch=5, loss=0.03255, Wa=1.1227, Wb=1.4729
updates=95, Epoch=11, minibatch=6, loss=0.04030, Wa=1.1236, Wb=1.4703
updates=96, Epoch=11, minibatch=7, loss=0.03063, Wa=1.1466, Wb=1.4676
updates=97, Epoch=12, minibatch=0, loss=0.03041, Wa=1.1471, Wb=1.4652
updates=98, Epoch=12, minibatch=1, loss=0.02881, Wa=1.1474, Wb=1.4627
updates=99, Epoch=12, minibatch=2, loss=0.03308, Wa=1.1470, Wb=1.4600
updates=100, Epoch=12, minibatch=3, loss=0.03191, Wa=1.1470, Wb=1.4572
updates=101, Epoch=12, minibatch=4, loss=0.03294, Wa=1.1475, Wb=1.4546
updates=102, Epoch=12, minibatch=5, loss=0.02743, Wa=1.1496, Wb=1.4532
updates=103, Epoch=12, minibatch=6, loss=0.02712, Wa=1.1508, Wb=1.4519
updates=104, Epoch=12, minibatch=7, loss=0.02771, Wa=1.1517, Wb=1.4507
updates=105, Epoch=13, minibatch=0, loss=0.02913, Wa=1.1534, Wb=1.4495
updates=106, Epoch=13, minibatch=1, loss=0.02688, Wa=1.1546, Wb=1.4482
updates=107, Epoch=13, minibatch=2, loss=0.02949, Wa=1.1552, Wb=1.4468
updates=108, Epoch=13, minibatch=3, loss=0.03095, Wa=1.1558, Wb=1.4453
updates=109, Epoch=13, minibatch=4, loss=0.02806, Wa=1.1594, Wb=1.4441
updates=110, Epoch=13, minibatch=5, loss=0.02790, Wa=1.1618, Wb=1.4427
updates=111, Epoch=13, minibatch=6, loss=0.02680, Wa=1.1621, Wb=1.4412
updates=112, Epoch=13, minibatch=7, loss=0.02299, Wa=1.1633, Wb=1.4398
updates=113, Epoch=14, minibatch=0, loss=0.02599, Wa=1.1642, Wb=1.4387
updates=114, Epoch=14, minibatch=1, loss=0.02648, Wa=1.1644, Wb=1.4372
updates=115, Epoch=14, minibatch=2, loss=0.02107, Wa=1.1668, Wb=1.4360
updates=116, Epoch=14, minibatch=3, loss=0.02945, Wa=1.1668, Wb=1.4347
updates=117, Epoch=14, minibatch=4, loss=0.02438, Wa=1.1692, Wb=1.4334
updates=118, Epoch=14, minibatch=5, loss=0.02382, Wa=1.1695, Wb=1.4320
updates=119, Epoch=14, minibatch=6, loss=0.02219, Wa=1.1698, Wb=1.4307
updates=120, Epoch=14, minibatch=7, loss=0.02337, Wa=1.1703, Wb=1.4295
updates=121, Epoch=15, minibatch=0, loss=0.02250, Wa=1.1711, Wb=1.4282
updates=122, Epoch=15, minibatch=1, loss=0.02396, Wa=1.1719, Wb=1.4270
updates=123, Epoch=15, minibatch=2, loss=0.01893, Wa=1.1735, Wb=1.4259
updates=124, Epoch=15, minibatch=3, loss=0.02369, Wa=1.1735, Wb=1.4247
updates=125, Epoch=15, minibatch=4, loss=0.02900, Wa=1.1737, Wb=1.4234
updates=126, Epoch=15, minibatch=5, loss=0.02423, Wa=1.1776, Wb=1.4220
updates=127, Epoch=15, minibatch=6, loss=0.01942, Wa=1.1795, Wb=1.4208
updates=128, Epoch=15, minibatch=7, loss=0.01926, Wa=1.1793, Wb=1.4195
updates=129, Epoch=16, minibatch=0, loss=0.02076, Wa=1.1795, Wb=1.4184
updates=130, Epoch=16, minibatch=1, loss=0.02327, Wa=1.1800, Wb=1.4171
updates=131, Epoch=16, minibatch=2, loss=0.02163, Wa=1.1822, Wb=1.4160
updates=132, Epoch=16, minibatch=3, loss=0.01893, Wa=1.1827, Wb=1.4147
updates=133, Epoch=16, minibatch=4, loss=0.01687, Wa=1.1830, Wb=1.4136
updates=134, Epoch=16, minibatch=5, loss=0.01827, Wa=1.1829, Wb=1.4124
updates=135, Epoch=16, minibatch=6, loss=0.02060, Wa=1.1835, Wb=1.4113
updates=136, Epoch=16, minibatch=7, loss=0.02559, Wa=1.1840, Wb=1.4100
updates=137, Epoch=17, minibatch=0, loss=0.01856, Wa=1.1888, Wb=1.4089
updates=138, Epoch=17, minibatch=1, loss=0.02249, Wa=1.1893, Wb=1.4077
updates=139, Epoch=17, minibatch=2, loss=0.01675, Wa=1.1923, Wb=1.4067
updates=140, Epoch=17, minibatch=3, loss=0.01810, Wa=1.1926, Wb=1.4056
updates=141, Epoch=17, minibatch=4, loss=0.01948, Wa=1.1923, Wb=1.4043
updates=142, Epoch=17, minibatch=5, loss=0.01548, Wa=1.1934, Wb=1.4032
updates=143, Epoch=17, minibatch=6, loss=0.01678, Wa=1.1933, Wb=1.4021
updates=144, Epoch=17, minibatch=7, loss=0.01908, Wa=1.1937, Wb=1.4010
updates=145, Epoch=18, minibatch=0, loss=0.01989, Wa=1.1939, Wb=1.3998
updates=146, Epoch=18, minibatch=1, loss=0.01530, Wa=1.1956, Wb=1.3986
updates=147, Epoch=18, minibatch=2, loss=0.01761, Wa=1.1959, Wb=1.3975
updates=148, Epoch=18, minibatch=3, loss=0.01571, Wa=1.1966, Wb=1.3964
updates=149, Epoch=18, minibatch=4, loss=0.01635, Wa=1.1974, Wb=1.3955
updates=150, Epoch=18, minibatch=5, loss=0.01611, Wa=1.1982, Wb=1.3944
updates=151, Epoch=18, minibatch=6, loss=0.01694, Wa=1.1980, Wb=1.3932
updates=152, Epoch=18, minibatch=7, loss=0.01456, Wa=1.1984, Wb=1.3922
updates=153, Epoch=19, minibatch=0, loss=0.01250, Wa=1.1987, Wb=1.3911
updates=154, Epoch=19, minibatch=1, loss=0.01707, Wa=1.1991, Wb=1.3902
updates=155, Epoch=19, minibatch=2, loss=0.01768, Wa=1.2006, Wb=1.3892
updates=156, Epoch=19, minibatch=3, loss=0.01408, Wa=1.2019, Wb=1.3880
updates=157, Epoch=19, minibatch=4, loss=0.01669, Wa=1.2018, Wb=1.3869
updates=158, Epoch=19, minibatch=5, loss=0.01167, Wa=1.2018, Wb=1.3857
updates=159, Epoch=19, minibatch=6, loss=0.01301, Wa=1.2018, Wb=1.3848
updates=160, Epoch=19, minibatch=7, loss=0.01768, Wa=1.2027, Wb=1.3841
updates=161, Epoch=20, minibatch=0, loss=0.01358, Wa=1.2035, Wb=1.3829
updates=162, Epoch=20, minibatch=1, loss=0.01513, Wa=1.2036, Wb=1.3819
updates=163, Epoch=20, minibatch=2, loss=0.01412, Wa=1.2044, Wb=1.3809
updates=164, Epoch=20, minibatch=3, loss=0.01209, Wa=1.2045, Wb=1.3798
updates=165, Epoch=20, minibatch=4, loss=0.01524, Wa=1.2049, Wb=1.3790
updates=166, Epoch=20, minibatch=5, loss=0.01325, Wa=1.2068, Wb=1.3780
updates=167, Epoch=20, minibatch=6, loss=0.01491, Wa=1.2073, Wb=1.3770
updates=168, Epoch=20, minibatch=7, loss=0.01087, Wa=1.2075, Wb=1.3759
updates=169, Epoch=21, minibatch=0, loss=0.01152, Wa=1.2076, Wb=1.3751
updates=170, Epoch=21, minibatch=1, loss=0.01216, Wa=1.2084, Wb=1.3743
updates=171, Epoch=21, minibatch=2, loss=0.01461, Wa=1.2088, Wb=1.3734
updates=172, Epoch=21, minibatch=3, loss=0.01435, Wa=1.2097, Wb=1.3724
updates=173, Epoch=21, minibatch=4, loss=0.01189, Wa=1.2099, Wb=1.3713
updates=174, Epoch=21, minibatch=5, loss=0.01266, Wa=1.2108, Wb=1.3704
updates=175, Epoch=21, minibatch=6, loss=0.01172, Wa=1.2108, Wb=1.3694
updates=176, Epoch=21, minibatch=7, loss=0.01040, Wa=1.2116, Wb=1.3685
updates=177, Epoch=22, minibatch=0, loss=0.01078, Wa=1.2116, Wb=1.3676
updates=178, Epoch=22, minibatch=1, loss=0.01125, Wa=1.2115, Wb=1.3667
updates=179, Epoch=22, minibatch=2, loss=0.01112, Wa=1.2114, Wb=1.3658
updates=180, Epoch=22, minibatch=3, loss=0.01212, Wa=1.2114, Wb=1.3648
updates=181, Epoch=22, minibatch=4, loss=0.01158, Wa=1.2114, Wb=1.3638
updates=182, Epoch=22, minibatch=5, loss=0.01097, Wa=1.2131, Wb=1.3631
updates=183, Epoch=22, minibatch=6, loss=0.01152, Wa=1.2135, Wb=1.3622
updates=184, Epoch=22, minibatch=7, loss=0.01036, Wa=1.2154, Wb=1.3614
updates=185, Epoch=23, minibatch=0, loss=0.01049, Wa=1.2156, Wb=1.3606
updates=186, Epoch=23, minibatch=1, loss=0.01085, Wa=1.2157, Wb=1.3597
updates=187, Epoch=23, minibatch=2, loss=0.00997, Wa=1.2158, Wb=1.3588
updates=188, Epoch=23, minibatch=3, loss=0.00909, Wa=1.2157, Wb=1.3579
updates=189, Epoch=23, minibatch=4, loss=0.01060, Wa=1.2162, Wb=1.3571
updates=190, Epoch=23, minibatch=5, loss=0.00812, Wa=1.2169, Wb=1.3563
updates=191, Epoch=23, minibatch=6, loss=0.01069, Wa=1.2170, Wb=1.3555
updates=192, Epoch=23, minibatch=7, loss=0.01117, Wa=1.2172, Wb=1.3547
updates=193, Epoch=24, minibatch=0, loss=0.00769, Wa=1.2183, Wb=1.3538
updates=194, Epoch=24, minibatch=1, loss=0.00929, Wa=1.2183, Wb=1.3531
updates=195, Epoch=24, minibatch=2, loss=0.00938, Wa=1.2199, Wb=1.3524
updates=196, Epoch=24, minibatch=3, loss=0.00921, Wa=1.2199, Wb=1.3515
updates=197, Epoch=24, minibatch=4, loss=0.01007, Wa=1.2200, Wb=1.3507
updates=198, Epoch=24, minibatch=5, loss=0.00895, Wa=1.2200, Wb=1.3498
updates=199, Epoch=24, minibatch=6, loss=0.01050, Wa=1.2206, Wb=1.3490
updates=200, Epoch=24, minibatch=7, loss=0.00908, Wa=1.2215, Wb=1.3482
updates=201, Epoch=25, minibatch=0, loss=0.01061, Wa=1.2220, Wb=1.3474
updates=202, Epoch=25, minibatch=1, loss=0.00812, Wa=1.2227, Wb=1.3466
updates=203, Epoch=25, minibatch=2, loss=0.00925, Wa=1.2231, Wb=1.3459
updates=204, Epoch=25, minibatch=3, loss=0.00814, Wa=1.2232, Wb=1.3450
