RMSprop using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.02
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=70, Epoch=8, minibatch=5, loss=0.01842, Wa=1.0068, Wb=1.3481
updates=71, Epoch=8, minibatch=6, loss=0.01920, Wa=1.0072, Wb=1.3464
updates=72, Epoch=8, minibatch=7, loss=0.02194, Wa=1.0081, Wb=1.3451
updates=73, Epoch=9, minibatch=0, loss=0.02771, Wa=1.0089, Wb=1.3450
updates=74, Epoch=9, minibatch=1, loss=0.02159, Wa=1.0101, Wb=1.3451
updates=75, Epoch=9, minibatch=2, loss=0.02370, Wa=1.0109, Wb=1.3435
updates=76, Epoch=9, minibatch=3, loss=0.03740, Wa=1.0119, Wb=1.3435
updates=77, Epoch=9, minibatch=4, loss=0.02670, Wa=1.0136, Wb=1.3435
updates=78, Epoch=9, minibatch=5, loss=0.03263, Wa=1.0149, Wb=1.3424
updates=79, Epoch=9, minibatch=6, loss=0.02894, Wa=1.0165, Wb=1.3417
updates=80, Epoch=9, minibatch=7, loss=0.01973, Wa=1.0178, Wb=1.3398
updates=81, Epoch=10, minibatch=0, loss=0.04165, Wa=1.0187, Wb=1.3393
updates=82, Epoch=10, minibatch=1, loss=0.02452, Wa=1.0210, Wb=1.3393
updates=83, Epoch=10, minibatch=2, loss=0.02980, Wa=1.0224, Wb=1.3388
updates=84, Epoch=10, minibatch=3, loss=0.02555, Wa=1.0242, Wb=1.3383
updates=85, Epoch=10, minibatch=4, loss=0.01383, Wa=1.0251, Wb=1.3375
updates=86, Epoch=10, minibatch=5, loss=0.02564, Wa=1.0255, Wb=1.3363
updates=87, Epoch=10, minibatch=6, loss=0.02615, Wa=1.0280, Wb=1.3355
updates=88, Epoch=10, minibatch=7, loss=0.02194, Wa=1.0294, Wb=1.3349
updates=89, Epoch=11, minibatch=0, loss=0.03423, Wa=1.0302, Wb=1.3340
updates=90, Epoch=11, minibatch=1, loss=0.02190, Wa=1.0337, Wb=1.3344
updates=91, Epoch=11, minibatch=2, loss=0.03116, Wa=1.0346, Wb=1.3330
updates=92, Epoch=11, minibatch=3, loss=0.02447, Wa=1.0365, Wb=1.3330
updates=93, Epoch=11, minibatch=4, loss=0.02430, Wa=1.0374, Wb=1.3317
updates=94, Epoch=11, minibatch=5, loss=0.01565, Wa=1.0391, Wb=1.3314
updates=95, Epoch=11, minibatch=6, loss=0.01264, Wa=1.0401, Wb=1.3304
updates=96, Epoch=11, minibatch=7, loss=0.02809, Wa=1.0405, Wb=1.3292
updates=97, Epoch=12, minibatch=0, loss=0.02347, Wa=1.0417, Wb=1.3289
updates=98, Epoch=12, minibatch=1, loss=0.02304, Wa=1.0427, Wb=1.3285
updates=99, Epoch=12, minibatch=2, loss=0.01096, Wa=1.0438, Wb=1.3282
updates=100, Epoch=12, minibatch=3, loss=0.01737, Wa=1.0442, Wb=1.3266
updates=101, Epoch=12, minibatch=4, loss=0.01615, Wa=1.0449, Wb=1.3255
updates=102, Epoch=12, minibatch=5, loss=0.04073, Wa=1.0456, Wb=1.3250
updates=103, Epoch=12, minibatch=6, loss=0.01804, Wa=1.0488, Wb=1.3250
updates=104, Epoch=12, minibatch=7, loss=0.02510, Wa=1.0498, Wb=1.3245
updates=105, Epoch=13, minibatch=0, loss=0.01567, Wa=1.0511, Wb=1.3249
updates=106, Epoch=13, minibatch=1, loss=0.02265, Wa=1.0518, Wb=1.3245
updates=107, Epoch=13, minibatch=2, loss=0.02051, Wa=1.0535, Wb=1.3242
updates=108, Epoch=13, minibatch=3, loss=0.01777, Wa=1.0544, Wb=1.3234
updates=109, Epoch=13, minibatch=4, loss=0.02400, Wa=1.0551, Wb=1.3229
updates=110, Epoch=13, minibatch=5, loss=0.00863, Wa=1.0577, Wb=1.3224
updates=111, Epoch=13, minibatch=6, loss=0.02444, Wa=1.0579, Wb=1.3209
updates=112, Epoch=13, minibatch=7, loss=0.02816, Wa=1.0593, Wb=1.3203
