SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=72, Epoch=8, minibatch=7, loss=0.56166, Wa=1.2319, Wb=1.3373
update=73, Epoch=9, minibatch=0, loss=0.49447, Wa=1.2323, Wb=1.3336
update=74, Epoch=9, minibatch=1, loss=0.49593, Wa=1.2528, Wb=1.3302
update=75, Epoch=9, minibatch=2, loss=0.36850, Wa=1.2519, Wb=1.3258
update=76, Epoch=9, minibatch=3, loss=0.33859, Wa=1.2510, Wb=1.3221
update=77, Epoch=9, minibatch=4, loss=0.34370, Wa=1.2490, Wb=1.3188
update=78, Epoch=9, minibatch=5, loss=0.27631, Wa=1.2496, Wb=1.3156
update=79, Epoch=9, minibatch=6, loss=0.33984, Wa=1.2495, Wb=1.3126
update=80, Epoch=9, minibatch=7, loss=0.36501, Wa=1.2487, Wb=1.3092
update=81, Epoch=10, minibatch=0, loss=0.25884, Wa=1.2511, Wb=1.3058
update=82, Epoch=10, minibatch=1, loss=0.22687, Wa=1.2528, Wb=1.3032
update=83, Epoch=10, minibatch=2, loss=0.19833, Wa=1.2518, Wb=1.3006
update=84, Epoch=10, minibatch=3, loss=0.24047, Wa=1.2513, Wb=1.2980
update=85, Epoch=10, minibatch=4, loss=0.22619, Wa=1.2500, Wb=1.2951
update=86, Epoch=10, minibatch=5, loss=0.19889, Wa=1.2498, Wb=1.2925
update=87, Epoch=10, minibatch=6, loss=0.26616, Wa=1.2497, Wb=1.2901
update=88, Epoch=10, minibatch=7, loss=0.18784, Wa=1.2490, Wb=1.2877
update=89, Epoch=11, minibatch=0, loss=0.17130, Wa=1.2515, Wb=1.2858
update=90, Epoch=11, minibatch=1, loss=0.17842, Wa=1.2509, Wb=1.2839
update=91, Epoch=11, minibatch=2, loss=0.17970, Wa=1.2515, Wb=1.2818
update=92, Epoch=11, minibatch=3, loss=0.16988, Wa=1.2535, Wb=1.2801
update=93, Epoch=11, minibatch=4, loss=0.12989, Wa=1.2536, Wb=1.2780
update=94, Epoch=11, minibatch=5, loss=0.12147, Wa=1.2531, Wb=1.2761
update=95, Epoch=11, minibatch=6, loss=0.09981, Wa=1.2525, Wb=1.2744
update=96, Epoch=11, minibatch=7, loss=0.14229, Wa=1.2522, Wb=1.2729
update=97, Epoch=12, minibatch=0, loss=0.12457, Wa=1.2614, Wb=1.2715
update=98, Epoch=12, minibatch=1, loss=0.10716, Wa=1.2607, Wb=1.2698
update=99, Epoch=12, minibatch=2, loss=0.13881, Wa=1.2602, Wb=1.2684
update=100, Epoch=12, minibatch=3, loss=0.10154, Wa=1.2592, Wb=1.2664
update=101, Epoch=12, minibatch=4, loss=0.08415, Wa=1.2593, Wb=1.2649
update=102, Epoch=12, minibatch=5, loss=0.09152, Wa=1.2589, Wb=1.2637
update=103, Epoch=12, minibatch=6, loss=0.09086, Wa=1.2582, Wb=1.2625
update=104, Epoch=12, minibatch=7, loss=0.08875, Wa=1.2579, Wb=1.2615
update=105, Epoch=13, minibatch=0, loss=0.08109, Wa=1.2576, Wb=1.2603
update=106, Epoch=13, minibatch=1, loss=0.09582, Wa=1.2575, Wb=1.2594
update=107, Epoch=13, minibatch=2, loss=0.09239, Wa=1.2576, Wb=1.2583
update=108, Epoch=13, minibatch=3, loss=0.09978, Wa=1.2568, Wb=1.2569
update=109, Epoch=13, minibatch=4, loss=0.07787, Wa=1.2573, Wb=1.2557
update=110, Epoch=13, minibatch=5, loss=0.06655, Wa=1.2571, Wb=1.2548
update=111, Epoch=13, minibatch=6, loss=0.07013, Wa=1.2602, Wb=1.2542
update=112, Epoch=13, minibatch=7, loss=0.05943, Wa=1.2599, Wb=1.2534
update=113, Epoch=14, minibatch=0, loss=0.06791, Wa=1.2597, Wb=1.2526
update=114, Epoch=14, minibatch=1, loss=0.07296, Wa=1.2601, Wb=1.2518
update=115, Epoch=14, minibatch=2, loss=0.06351, Wa=1.2596, Wb=1.2510
update=116, Epoch=14, minibatch=3, loss=0.06999, Wa=1.2590, Wb=1.2503
update=117, Epoch=14, minibatch=4, loss=0.07344, Wa=1.2589, Wb=1.2495
update=118, Epoch=14, minibatch=5, loss=0.06662, Wa=1.2591, Wb=1.2489
update=119, Epoch=14, minibatch=6, loss=0.07626, Wa=1.2596, Wb=1.2483
update=120, Epoch=14, minibatch=7, loss=0.05880, Wa=1.2593, Wb=1.2475
update=121, Epoch=15, minibatch=0, loss=0.04467, Wa=1.2590, Wb=1.2470
update=122, Epoch=15, minibatch=1, loss=0.07105, Wa=1.2593, Wb=1.2466
update=123, Epoch=15, minibatch=2, loss=0.06026, Wa=1.2592, Wb=1.2460
update=124, Epoch=15, minibatch=3, loss=0.07054, Wa=1.2592, Wb=1.2458
update=125, Epoch=15, minibatch=4, loss=0.06523, Wa=1.2591, Wb=1.2449
update=126, Epoch=15, minibatch=5, loss=0.06296, Wa=1.2593, Wb=1.2442
