RMSprop using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.002
Epoch=9, minibatch=6 loss=45.42576, Wa=0.2028, Wb=1.6496
Epoch=9, minibatch=7 loss=55.75579, Wa=0.2052, Wb=1.6478
Epoch=10, minibatch=0 loss=50.27247, Wa=0.2102, Wb=1.6474
Epoch=10, minibatch=1 loss=48.15192, Wa=0.2108, Wb=1.6456
Epoch=10, minibatch=2 loss=52.80445, Wa=0.2108, Wb=1.6445
Epoch=10, minibatch=3 loss=46.49571, Wa=0.2117, Wb=1.6421
Epoch=10, minibatch=4 loss=56.18133, Wa=0.2117, Wb=1.6397
Epoch=10, minibatch=5 loss=51.02527, Wa=0.2130, Wb=1.6384
Epoch=10, minibatch=6 loss=54.07116, Wa=0.2158, Wb=1.6362
Epoch=10, minibatch=7 loss=40.48582, Wa=0.2161, Wb=1.6346
Epoch=11, minibatch=0 loss=49.96105, Wa=0.2168, Wb=1.6330
Epoch=11, minibatch=1 loss=47.73014, Wa=0.2167, Wb=1.6306
Epoch=11, minibatch=2 loss=51.37436, Wa=0.2171, Wb=1.6298
Epoch=11, minibatch=3 loss=41.38908, Wa=0.2172, Wb=1.6280
Epoch=11, minibatch=4 loss=59.54893, Wa=0.2183, Wb=1.6258
Epoch=11, minibatch=5 loss=54.84221, Wa=0.2199, Wb=1.6244
Epoch=11, minibatch=6 loss=46.72659, Wa=0.2254, Wb=1.6230
Epoch=11, minibatch=7 loss=42.57607, Wa=0.2259, Wb=1.6210
Epoch=12, minibatch=0 loss=47.55998, Wa=0.2273, Wb=1.6185
Epoch=12, minibatch=1 loss=47.51444, Wa=0.2278, Wb=1.6172
Epoch=12, minibatch=2 loss=52.73167, Wa=0.2282, Wb=1.6162
Epoch=12, minibatch=3 loss=46.93830, Wa=0.2282, Wb=1.6132
Epoch=12, minibatch=4 loss=53.42191, Wa=0.2284, Wb=1.6112
Epoch=12, minibatch=5 loss=43.82251, Wa=0.2304, Wb=1.6105
Epoch=12, minibatch=6 loss=44.90155, Wa=0.2310, Wb=1.6078
Epoch=12, minibatch=7 loss=53.02667, Wa=0.2318, Wb=1.6070
Epoch=13, minibatch=0 loss=51.60462, Wa=0.2326, Wb=1.6042
Epoch=13, minibatch=1 loss=46.06161, Wa=0.2326, Wb=1.6016
Epoch=13, minibatch=2 loss=48.08730, Wa=0.2334, Wb=1.6002
