Adam using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.03
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=70, Epoch=8, minibatch=5, loss=0.06426, Wa=0.8632, Wb=1.3795
updates=71, Epoch=8, minibatch=6, loss=0.02969, Wa=0.8694, Wb=1.3771
updates=72, Epoch=8, minibatch=7, loss=0.04311, Wa=0.8752, Wb=1.3747
updates=73, Epoch=9, minibatch=0, loss=0.05112, Wa=0.8806, Wb=1.3728
updates=74, Epoch=9, minibatch=1, loss=0.02830, Wa=0.8859, Wb=1.3713
updates=75, Epoch=9, minibatch=2, loss=0.03744, Wa=0.8908, Wb=1.3694
updates=76, Epoch=9, minibatch=3, loss=0.06628, Wa=0.8954, Wb=1.3680
updates=77, Epoch=9, minibatch=4, loss=0.03701, Wa=0.9001, Wb=1.3667
updates=78, Epoch=9, minibatch=5, loss=0.02836, Wa=0.9046, Wb=1.3651
updates=79, Epoch=9, minibatch=6, loss=0.04257, Wa=0.9089, Wb=1.3633
updates=80, Epoch=9, minibatch=7, loss=0.05064, Wa=0.9130, Wb=1.3608
updates=81, Epoch=10, minibatch=0, loss=0.06353, Wa=0.9172, Wb=1.3587
updates=82, Epoch=10, minibatch=1, loss=0.03731, Wa=0.9216, Wb=1.3567
updates=83, Epoch=10, minibatch=2, loss=0.02790, Wa=0.9258, Wb=1.3550
updates=84, Epoch=10, minibatch=3, loss=0.04188, Wa=0.9297, Wb=1.3534
updates=85, Epoch=10, minibatch=4, loss=0.05497, Wa=0.9337, Wb=1.3516
updates=86, Epoch=10, minibatch=5, loss=0.02587, Wa=0.9377, Wb=1.3499
updates=87, Epoch=10, minibatch=6, loss=0.03555, Wa=0.9415, Wb=1.3482
updates=88, Epoch=10, minibatch=7, loss=0.03128, Wa=0.9452, Wb=1.3466
updates=89, Epoch=11, minibatch=0, loss=0.02778, Wa=0.9488, Wb=1.3449
updates=90, Epoch=11, minibatch=1, loss=0.02140, Wa=0.9522, Wb=1.3439
updates=91, Epoch=11, minibatch=2, loss=0.05201, Wa=0.9554, Wb=1.3425
updates=92, Epoch=11, minibatch=3, loss=0.03090, Wa=0.9587, Wb=1.3414
updates=93, Epoch=11, minibatch=4, loss=0.03322, Wa=0.9619, Wb=1.3400
updates=94, Epoch=11, minibatch=5, loss=0.01712, Wa=0.9650, Wb=1.3389
updates=95, Epoch=11, minibatch=6, loss=0.02259, Wa=0.9679, Wb=1.3378
updates=96, Epoch=11, minibatch=7, loss=0.05253, Wa=0.9706, Wb=1.3366
updates=97, Epoch=12, minibatch=0, loss=0.04223, Wa=0.9736, Wb=1.3355
updates=98, Epoch=12, minibatch=1, loss=0.03500, Wa=0.9766, Wb=1.3344
updates=99, Epoch=12, minibatch=2, loss=0.01747, Wa=0.9795, Wb=1.3336
updates=100, Epoch=12, minibatch=3, loss=0.01898, Wa=0.9823, Wb=1.3325
updates=101, Epoch=12, minibatch=4, loss=0.01424, Wa=0.9849, Wb=1.3313
updates=102, Epoch=12, minibatch=5, loss=0.05220, Wa=0.9873, Wb=1.3301
updates=103, Epoch=12, minibatch=6, loss=0.02137, Wa=0.9902, Wb=1.3290
updates=104, Epoch=12, minibatch=7, loss=0.03758, Wa=0.9929, Wb=1.3281
updates=105, Epoch=13, minibatch=0, loss=0.02677, Wa=0.9956, Wb=1.3277
updates=106, Epoch=13, minibatch=1, loss=0.03196, Wa=0.9983, Wb=1.3275
updates=107, Epoch=13, minibatch=2, loss=0.02741, Wa=1.0010, Wb=1.3274
updates=108, Epoch=13, minibatch=3, loss=0.03744, Wa=1.0040, Wb=1.3272
updates=109, Epoch=13, minibatch=4, loss=0.02368, Wa=1.0069, Wb=1.3270
updates=110, Epoch=13, minibatch=5, loss=0.01615, Wa=1.0099, Wb=1.3268
updates=111, Epoch=13, minibatch=6, loss=0.02231, Wa=1.0126, Wb=1.3262
updates=112, Epoch=13, minibatch=7, loss=0.03342, Wa=1.0152, Wb=1.3255
updates=113, Epoch=14, minibatch=0, loss=0.01697, Wa=1.0178, Wb=1.3251
updates=114, Epoch=14, minibatch=1, loss=0.02457, Wa=1.0203, Wb=1.3246
updates=115, Epoch=14, minibatch=2, loss=0.03989, Wa=1.0227, Wb=1.3240
updates=116, Epoch=14, minibatch=3, loss=0.01710, Wa=1.0252, Wb=1.3236
updates=117, Epoch=14, minibatch=4, loss=0.02880, Wa=1.0281, Wb=1.3231
updates=118, Epoch=14, minibatch=5, loss=0.02421, Wa=1.0309, Wb=1.3222
updates=119, Epoch=14, minibatch=6, loss=0.01841, Wa=1.0336, Wb=1.3213
updates=120, Epoch=14, minibatch=7, loss=0.02628, Wa=1.0362, Wb=1.3205
updates=121, Epoch=15, minibatch=0, loss=0.02413, Wa=1.0390, Wb=1.3200
updates=122, Epoch=15, minibatch=1, loss=0.01602, Wa=1.0417, Wb=1.3195
updates=123, Epoch=15, minibatch=2, loss=0.02046, Wa=1.0444, Wb=1.3190
updates=124, Epoch=15, minibatch=3, loss=0.03011, Wa=1.0469, Wb=1.3187
updates=125, Epoch=15, minibatch=4, loss=0.02237, Wa=1.0497, Wb=1.3180
updates=126, Epoch=15, minibatch=5, loss=0.02094, Wa=1.0524, Wb=1.3171
updates=127, Epoch=15, minibatch=6, loss=0.01823, Wa=1.0551, Wb=1.3159
updates=128, Epoch=15, minibatch=7, loss=0.01951, Wa=1.0577, Wb=1.3149
updates=129, Epoch=16, minibatch=0, loss=0.01822, Wa=1.0602, Wb=1.3141
updates=130, Epoch=16, minibatch=1, loss=0.02275, Wa=1.0626, Wb=1.3133
updates=131, Epoch=16, minibatch=2, loss=0.02216, Wa=1.0651, Wb=1.3123
updates=132, Epoch=16, minibatch=3, loss=0.01526, Wa=1.0678, Wb=1.3111
updates=133, Epoch=16, minibatch=4, loss=0.02668, Wa=1.0704, Wb=1.3101
updates=134, Epoch=16, minibatch=5, loss=0.01822, Wa=1.0732, Wb=1.3093
updates=135, Epoch=16, minibatch=6, loss=0.01537, Wa=1.0759, Wb=1.3087
updates=136, Epoch=16, minibatch=7, loss=0.02126, Wa=1.0786, Wb=1.3080
updates=137, Epoch=17, minibatch=0, loss=0.01298, Wa=1.0813, Wb=1.3072
updates=138, Epoch=17, minibatch=1, loss=0.02417, Wa=1.0838, Wb=1.3064
updates=139, Epoch=17, minibatch=2, loss=0.01445, Wa=1.0864, Wb=1.3055
updates=140, Epoch=17, minibatch=3, loss=0.01197, Wa=1.0889, Wb=1.3045
updates=141, Epoch=17, minibatch=4, loss=0.01767, Wa=1.0913, Wb=1.3035
updates=142, Epoch=17, minibatch=5, loss=0.01652, Wa=1.0938, Wb=1.3024
updates=143, Epoch=17, minibatch=6, loss=0.01892, Wa=1.0962, Wb=1.3016
updates=144, Epoch=17, minibatch=7, loss=0.01052, Wa=1.0986, Wb=1.3009
updates=145, Epoch=18, minibatch=0, loss=0.01236, Wa=1.1009, Wb=1.3001
updates=146, Epoch=18, minibatch=1, loss=0.02218, Wa=1.1032, Wb=1.2990
updates=147, Epoch=18, minibatch=2, loss=0.01924, Wa=1.1055, Wb=1.2982
updates=148, Epoch=18, minibatch=3, loss=0.00968, Wa=1.1082, Wb=1.2971
updates=149, Epoch=18, minibatch=4, loss=0.01275, Wa=1.1107, Wb=1.2962
updates=150, Epoch=18, minibatch=5, loss=0.00818, Wa=1.1130, Wb=1.2954
updates=151, Epoch=18, minibatch=6, loss=0.01711, Wa=1.1152, Wb=1.2945
updates=152, Epoch=18, minibatch=7, loss=0.01397, Wa=1.1175, Wb=1.2935
updates=153, Epoch=19, minibatch=0, loss=0.01226, Wa=1.1197, Wb=1.2928
updates=154, Epoch=19, minibatch=1, loss=0.01358, Wa=1.1218, Wb=1.2925
updates=155, Epoch=19, minibatch=2, loss=0.00802, Wa=1.1239, Wb=1.2921
updates=156, Epoch=19, minibatch=3, loss=0.00520, Wa=1.1259, Wb=1.2914
updates=157, Epoch=19, minibatch=4, loss=0.00999, Wa=1.1278, Wb=1.2907
updates=158, Epoch=19, minibatch=5, loss=0.01311, Wa=1.1296, Wb=1.2897
updates=159, Epoch=19, minibatch=6, loss=0.02122, Wa=1.1314, Wb=1.2889
updates=160, Epoch=19, minibatch=7, loss=0.00781, Wa=1.1334, Wb=1.2886
updates=161, Epoch=20, minibatch=0, loss=0.01028, Wa=1.1353, Wb=1.2878
updates=162, Epoch=20, minibatch=1, loss=0.00973, Wa=1.1371, Wb=1.2869
updates=163, Epoch=20, minibatch=2, loss=0.00583, Wa=1.1389, Wb=1.2858
updates=164, Epoch=20, minibatch=3, loss=0.00701, Wa=1.1406, Wb=1.2847
updates=165, Epoch=20, minibatch=4, loss=0.00866, Wa=1.1422, Wb=1.2838
updates=166, Epoch=20, minibatch=5, loss=0.00895, Wa=1.1438, Wb=1.2831
updates=167, Epoch=20, minibatch=6, loss=0.01397, Wa=1.1453, Wb=1.2824
updates=168, Epoch=20, minibatch=7, loss=0.01231, Wa=1.1469, Wb=1.2815
updates=169, Epoch=21, minibatch=0, loss=0.01180, Wa=1.1486, Wb=1.2809
updates=170, Epoch=21, minibatch=1, loss=0.01078, Wa=1.1506, Wb=1.2806
updates=171, Epoch=21, minibatch=2, loss=0.00965, Wa=1.1527, Wb=1.2803
updates=172, Epoch=21, minibatch=3, loss=0.00684, Wa=1.1546, Wb=1.2799
updates=173, Epoch=21, minibatch=4, loss=0.00947, Wa=1.1565, Wb=1.2791
